# t, p_1, p_2, mob_A, imm_A, diss_A, seal_A, mob_B, imm_B, diss_B, seal_B, M_C
105000.000000,109265.527280,103491.857126,0.000000,0.000046,0.001009,0.000677,0.000001,0.000087,0.000971,0.000023,0.006458
105600.000000,109276.790768,103499.694734,0.000000,0.000046,0.001010,0.000677,0.000001,0.000087,0.000971,0.000023,0.006460
106200.000000,109286.697427,103506.318425,0.000000,0.000045,0.001010,0.000677,0.000001,0.000087,0.000971,0.000023,0.006464
106800.000000,109296.396807,103512.362244,0.000000,0.000045,0.001010,0.000677,0.000001,0.000086,0.000972,0.000023,0.006468
107400.000000,109303.888394,103519.480254,0.000000,0.000045,0.001010,0.000677,0.000001,0.000086,0.000972,0.000023,0.006472
108000.000000,109312.398353,103525.568145,0.000000,0.000045,0.001011,0.000677,0.000001,0.000085,0.000972,0.000023,0.006476
108600.000000,109319.701160,103530.842655,0.000000,0.000045,0.001011,0.000678,0.000001,0.000085,0.000973,0.000023,0.006481
109200.000000,109326.185558,103534.284110,0.000000,0.000044,0.001011,0.000678,0.000001,0.000085,0.000973,0.000023,0.006487
109800.000000,109331.537852,103537.918685,0.000000,0.000044,0.001011,0.000678,0.000001,0.000084,0.000973,0.000023,0.006492
110400.000000,109335.777673,103539.923763,0.000000,0.000044,0.001011,0.000678,0.000001,0.000084,0.000973,0.000023,0.006498
111000.000000,109340.036639,103544.350070,0.000000,0.000044,0.001012,0.000678,0.000001,0.000084,0.000973,0.000023,0.006504
111600.000000,109345.106078,103547.925431,0.000000,0.000044,0.001012,0.000678,0.000001,0.000084,0.000974,0.000023,0.006509
112200.000000,109349.775892,103551.422744,0.000000,0.000043,0.001012,0.000678,0.000001,0.000083,0.000974,0.000023,0.006515
112800.000000,109353.772837,103555.449408,0.000000,0.000043,0.001012,0.000678,0.000001,0.000083,0.000974,0.000023,0.006521
113400.000000,109357.552833,103558.552984,0.000000,0.000043,0.001012,0.000678,0.000001,0.000083,0.000974,0.000023,0.006527
114000.000000,109361.314826,103560.357900,0.000000,0.000043,0.001013,0.000678,0.000001,0.000083,0.000974,0.000023,0.006532
114600.000000,109364.941324,103563.761653,0.000000,0.000043,0.001013,0.000678,0.000001,0.000082,0.000974,0.000023,0.006538
115200.000000,109369.575413,103565.474929,0.000000,0.000043,0.001013,0.000678,0.000001,0.000082,0.000974,0.000023,0.006544
115800.000000,109372.446639,103568.105900,0.000000,0.000043,0.001013,0.000678,0.000001,0.000082,0.000975,0.000023,0.006549
116400.000000,109374.716371,103570.846090,0.000000,0.000042,0.001013,0.000678,0.000001,0.000082,0.000975,0.000023,0.006555
117000.000000,109377.531061,103572.831376,0.000000,0.000042,0.001013,0.000678,0.000001,0.000081,0.000975,0.000023,0.006561
117600.000000,109379.931018,103574.349692,0.000000,0.000042,0.001014,0.000678,0.000001,0.000081,0.000975,0.000023,0.006566
118200.000000,109382.153264,103575.863688,0.000000,0.000042,0.001014,0.000678,0.000001,0.000081,0.000975,0.000023,0.006572
118800.000000,109384.143783,103577.361376,0.000000,0.000042,0.001014,0.000678,0.000001,0.000081,0.000975,0.000023,0.006578
119400.000000,109385.958149,103578.545590,0.000000,0.000042,0.001014,0.000678,0.000001,0.000081,0.000975,0.000023,0.006583
120000.000000,109387.439538,103579.205993,0.000000,0.000041,0.001014,0.000678,0.000001,0.000080,0.000975,0.000023,0.006589
120600.000000,109388.177755,103579.419121,0.000000,0.000041,0.001015,0.000678,0.000001,0.000080,0.000976,0.000023,0.006595
121200.000000,109388.262449,103580.144476,0.000000,0.000041,0.001015,0.000678,0.000001,0.000080,0.000976,0.000023,0.006601
121800.000000,109388.310186,103580.443551,0.000000,0.000041,0.001015,0.000678,0.000001,0.000080,0.000976,0.000023,0.006606
122400.000000,109390.246965,103580.472398,0.000000,0.000041,0.001015,0.000678,0.000001,0.000080,0.000976,0.000023,0.006612
123000.000000,109391.172626,103581.599557,0.000000,0.000041,0.001015,0.000678,0.000001,0.000080,0.000976,0.000023,0.006618
123600.000000,109392.386466,103583.110930,0.000000,0.000041,0.001015,0.000678,0.000001,0.000079,0.000976,0.000023,0.006623
124200.000000,109393.404428,103583.693725,0.000000,0.000041,0.001015,0.000678,0.000001,0.000079,0.000976,0.000023,0.006629
124800.000000,109394.689764,103585.958864,0.000000,0.000040,0.001016,0.000678,0.000001,0.000079,0.000976,0.000023,0.006634
125400.000000,109395.332618,103586.535108,0.000000,0.000040,0.001016,0.000678,0.000001,0.000079,0.000976,0.000023,0.006640
