t_s,p1_Pa,p2_Pa,mobA_kg,immobA_kg,dissA_kg,sealA_kg,mobB_kg,immobB_kg,dissB_kg,sealB_kg,M_C,CO2tot_kg
117000,109484.854546532,103624.930307719,0.00157460213348043,5.94246627604408e-07,0.00126932042364353,0.000312067844958221,0,0,0.000645516399901162,4.93930705459963e-09,1.63870989772262,0.00855686559998963
117600,109484.854546532,103624.930307719,0.00156977099656501,6.02363181762165e-07,0.00127479459583558,0.000312690888658484,0,0,0.000643816681939843,5.56388915004983e-09,1.63806275860509,0.0085568722349723
118200,109484.854546532,103624.930307719,0.00156448893897129,8.54813129880637e-07,0.00128048834052295,0.00031331405549534,0,0,0.000642112706657598,6.25464373219732e-09,1.63686129225428,0.00855687081765148
118800,109484.854546532,103624.930307719,0.00155946175951075,9.63658099147483e-07,0.00128603582936523,0.000313938008894543,0,0,0.000640456519791301,7.00733903465072e-09,1.63564580490415,0.00855685628722902
119400,109484.854546532,103624.930307719,0.00155538411550129,1.16549823619467e-06,0.00129043161656234,0.000314567128874001,0,0,0.000639002485064204,7.81361970632629e-09,1.63546691525967,0.00855686016746124
120000,109484.854546532,103624.930307719,0.00155134639024187,7.92255782872976e-07,0.00129541777562848,0.000315193966338306,0,0,0.000637486116937956,8.69172283236578e-09,1.63246355951052,0.00855685697977119
120600,109484.854546532,103624.930307719,0.00154684297023237,1.2413679445029e-06,0.001300001869242,0.000315823021548942,0,0,0.000636044719626286,9.62292451745633e-09,1.63104791761335,0.00855686223205124
121200,109484.854546532,103624.930307719,0.00154268260992888,1.26257606454097e-06,0.00130467413524542,0.000316452028896514,0,0,0.000634611431627355,1.06239333288881e-08,1.62881167499613,0.0085568636460737
121800,109484.854546532,103624.930307719,0.00153832016349907,1.27000182231648e-06,0.00130958699377632,0.000317080514899639,0,0,0.000633161153048666,1.16927593933782e-08,1.62693962820874,0.00855686071787972
122400,109484.854546532,103624.930307719,0.00153444401305373,1.07895163664836e-06,0.00131418140188892,0.000317710694978587,0,0,0.00063177640554709,1.28297595309231e-08,1.62477822054885,0.00855686154911675
123000,109484.854546532,103624.930307719,0.00153199246657559,1.17437408144518e-06,0.00131754739100385,0.000318342194633999,0,0,0.000630476044510838,1.40269416933346e-08,1.62399428059146,0.00855686109061942
123600,109484.854546532,103624.930307719,0.00153085187737755,9.43070751087872e-07,0.00132022978690609,0.000318970925598865,0,0,0.00062926272267201,1.52873724374845e-08,1.62596906676555,0.00855686143737511
124200,109484.854546532,103624.930307719,0.00152919396048858,6.9732259528217e-07,0.00132311885271069,0.000319583379720249,0,0,0.000628101947098652,1.66064175761037e-08,1.63131973408804,0.00855685718627029
124800,109484.854546532,103624.930307719,0.00152635227832156,5.32141518846868e-07,0.00132724097739346,0.000320177344087747,0,0,0.000626698902576448,1.80059629988818e-08,1.63725375475228,0.0085568717398827
125400,109484.854546532,103624.930307719,0.00152315942409126,4.60374682446126e-07,0.00133155238762421,0.00032076757366333,0,0,0.000625267760663293,1.94969623381607e-08,1.64294974346489,0.00855687829954224
126000,109484.854546532,103624.930307719,0.00151982999073402,3.96472147515537e-07,0.00133606910209576,0.000321353356069259,0,0,0.000623809205251695,2.10843752329152e-08,1.64783410994622,0.0085568785846985
126600,109484.854546532,103624.930307719,0.00151630710525299,5.00237442144649e-07,0.00134066057376236,0.000321939168717566,0,0,0.000622373080531914,2.27709656939243e-08,1.65198242910428,0.00855688361069455
127200,109484.854546532,103624.930307719,0.00151296384553294,6.86304257151867e-07,0.00134489283472248,0.000322531020870707,0,0,0.000621114620150995,2.45337935647493e-08,1.65599446337897,0.00855687917109706
127800,109484.854546532,103624.930307719,0.00151011970387376,4.42497629911793e-07,0.00134883479466424,0.000323127474530297,0,0,0.000619957320445448,2.63743115330653e-08,1.65792562550294,0.00855687735237315
128400,109484.854546532,103624.930307719,0.00150691536829062,6.73658674783808e-07,0.00135252649968736,0.000323725853207588,0,0,0.000618850478792217,2.82754308682845e-08,1.65868087504236,0.00855689000298752
129000,109484.854546532,103624.930307719,0.00150399395848908,5.13256306263664e-07,0.00135632987250016,0.000324324248612625,0,0,0.000617731560207376,3.02505598232824e-08,1.65717887937408,0.00855689143026466
129600,109484.854546532,103624.930307719,0.00150090160710352,5.44459701723675e-07,0.00136006410411855,0.00032492354878089,0,0,0.000616619631549696,3.23061774330366e-08,1.65347921851074,0.00855688869086922
130200,109484.854546532,103624.930307719,0.00149796892639306,4.26487889906696e-07,0.0013637677634961,0.000325523876381879,0,0,0.00061551217590382,3.44410891713858e-08,1.64797544443157,0.00855689484291891
130800,109484.854546532,103624.930307719,0.00149470567822391,6.99508696977287e-07,0.00136730912394821,0.000326125503143691,0,0,0.000614429628925024,3.66456523652875e-08,1.64220056280465,0.00855689899606604
131400,109484.854546532,103624.930307719,0.00149181910028963,4.23705141167063e-07,0.00137107031624488,0.000326725975137644,0,0,0.000613307707807362,3.89374146185164e-08,1.63525343325697,0.00855689974869417
132000,109484.854546532,103624.930307719,0.00148831765560682,7.70883280596705e-07,0.00137480421659262,0.000327327585162174,0,0,0.00061220032866979,4.13019414896968e-08,1.62842571173123,0.00855689597840016
132600,109484.854546532,103624.930307719,0.00148541072368924,3.91516304782856e-07,0.00137875378750885,0.000327929449498491,0,0,0.000611084237108035,4.37544377270468e-08,1.62092352745341,0.00855689562721691
133200,109484.854546532,103624.930307719,0.0014817962936319,5.89036971227464e-07,0.00138276568027936,0.000328530765736041,0,0,0.000609959228494563,4.6293008062548e-08,1.61313758199527,0.0085568972557133
133800,109484.854546532,103624.930307719,0.0014779786396972,6.71248430771162e-07,0.00138720249661511,0.000329131093722669,0,0,0.000608790444534077,4.89218011980972e-08,1.60543080471665,0.00855689758866741
134400,109484.854546532,103624.930307719,0.00147390808835231,7.11676789099865e-07,0.00139188963463946,0.000329730345082502,0,0,0.000607585121902186,5.16614217746822e-08,1.59733920178455,0.00855689893145624
135000,109484.854546532,103624.930307719,0.00146987775149237,6.47262792337303e-07,0.00139642410704833,0.000330330928652897,0,0,0.000606400826703933,5.4497544810702e-08,1.5892847302099,0.00855689850778248
135600,109484.854546532,103624.930307719,0.00146552994123469,8.98795354983343e-07,0.00140083190945569,0.000330933233992136,0,0,0.000605265708969068,5.74232933176763e-08,1.58148109452336,0.00855690401701504
136200,109484.854546532,103624.930307719,0.00146196604387966,5.27349771599408e-07,0.00140518774853327,0.000331538475742621,0,0,0.000604217182188736,6.04379195902801e-08,1.57414518885658,0.00855689729799139
136800,109484.854546532,103624.930307719,0.00145775802595704,9.95533454411506e-07,0.00140969318526365,0.000332144348449346,0,0,0.000603196778414441,6.3536013370874e-08,1.56783487169657,0.00855690828702094
137400,109484.854546532,103624.930307719,0.00145421346254334,8.23731508911987e-07,0.00141433507337432,0.000332749165287569,0,0,0.000602151001023429,6.67253018731554e-08,1.56257871296335,0.00855691129499844
138000,109484.854546532,103624.930307719,0.00145002895196152,9.1770055441892e-07,0.00141940554661961,0.000333353808892971,0,0,0.000601117450023635,6.99982546643946e-08,1.55901064500733,0.00855691556827105
138600,109484.854546532,103624.930307719,0.00144648002795885,6.67613516481906e-07,0.00142386623069682,0.00033396251231111,0,0,0.000600174216229178,7.33433441716168e-08,1.55783617486951,0.00855692018497997
139200,109484.854546532,103624.930307719,0.0014429629328353,4.42402411424802e-07,0.00142824895198652,0.000334571516842311,0,0,0.000599257218962427,7.67722713775566e-08,1.55696789273382,0.0085569147206761
139800,109484.854546532,103624.930307719,0.00143883307246913,5.78337237159514e-07,0.00143291174683239,0.000335179560060203,0,0,0.000598328751337096,8.02814759602588e-08,1.55654689099135,0.00855691036497655
