#t, p1, p2, mob_A, imm_A, diss_A, seal_A, mob_B, imm_B, diss_B, seal_B, M_C, totM_co2 
3.150e+04,113900.000000,108000.000000,0.000000,0.000391,0.004408,0.001563,0.000000,0.000000,0.000000,0.000000,1.146440,0.008300
3.180e+04,113900.000000,108000.000000,0.000000,0.000391,0.004427,0.001563,0.000000,0.000000,0.000000,0.000000,1.140450,0.008300
3.210e+04,113900.000000,108000.000000,0.000000,0.000391,0.004446,0.001563,0.000000,0.000000,0.000000,0.000000,1.134410,0.008300
3.240e+04,113900.000000,108000.000000,0.000000,0.000391,0.004464,0.001563,0.000000,0.000000,0.000000,0.000000,1.128520,0.008300
3.270e+04,113900.000000,108000.000000,0.000000,0.000391,0.004482,0.001563,0.000000,0.000000,0.000000,0.000000,1.122680,0.008300
3.300e+04,113900.000000,108000.000000,0.000000,0.000391,0.004499,0.001563,0.000000,0.000000,0.000000,0.000000,1.117430,0.008300
3.330e+04,113900.000000,108000.000000,0.000000,0.000391,0.004517,0.001563,0.000000,0.000000,0.000000,0.000000,1.112220,0.008300
3.360e+04,113900.000000,108000.000000,0.000000,0.000391,0.004533,0.001563,0.000000,0.000000,0.000000,0.000000,1.106820,0.008300
3.390e+04,113900.000000,108000.000000,0.000000,0.000391,0.004550,0.001563,0.000000,0.000000,0.000000,0.000000,1.102210,0.008300
3.420e+04,113900.000000,108000.000000,0.000000,0.000391,0.004566,0.001563,0.000000,0.000000,0.000000,0.000000,1.097210,0.008300
3.450e+04,113900.000000,108000.000000,0.000000,0.000391,0.004582,0.001563,0.000000,0.000000,0.000000,0.000000,1.092490,0.008310
3.480e+04,113900.000000,108000.000000,0.000000,0.000391,0.004598,0.001563,0.000000,0.000000,0.000000,0.000000,1.087850,0.008310
3.510e+04,113900.000000,108000.000000,0.000000,0.000391,0.004613,0.001563,0.000000,0.000000,0.000000,0.000000,1.083180,0.008310
3.540e+04,113900.000000,108000.000000,0.000000,0.000391,0.004628,0.001563,0.000000,0.000000,0.000000,0.000000,1.078750,0.008310
3.570e+04,113900.000000,108000.000000,0.000000,0.000391,0.004643,0.001563,0.000000,0.000000,0.000000,0.000000,1.074380,0.008310
3.600e+04,113900.000000,108000.000000,0.000000,0.000391,0.004658,0.001563,0.000000,0.000000,0.000000,0.000000,1.070080,0.008310
3.630e+04,113900.000000,108000.000000,0.000000,0.000391,0.004672,0.001563,0.000000,0.000000,0.000000,0.000000,1.066770,0.008310
3.660e+04,113900.000000,108000.000000,0.000000,0.000391,0.004686,0.001563,0.000000,0.000000,0.000000,0.000000,1.063420,0.008310
3.690e+04,113900.000000,108000.000000,0.000000,0.000391,0.004700,0.001563,0.000000,0.000000,0.000000,0.000000,1.060120,0.008310
3.720e+04,113900.000000,108000.000000,0.000000,0.000391,0.004713,0.001563,0.000000,0.000000,0.000000,0.000000,1.057380,0.008310
3.750e+04,113900.000000,108000.000000,0.000000,0.000391,0.004726,0.001563,0.000000,0.000000,0.000000,0.000000,1.054270,0.008310
3.780e+04,113900.000000,108000.000000,0.000000,0.000391,0.004739,0.001563,0.000000,0.000000,0.000000,0.000000,1.051230,0.008310
3.810e+04,113900.000000,108000.000000,0.000000,0.000391,0.004751,0.001563,0.000000,0.000000,0.000000,0.000000,1.048380,0.008310
3.840e+04,113900.000000,108000.000000,0.000000,0.000391,0.004764,0.001563,0.000000,0.000000,0.000000,0.000000,1.045540,0.008310
3.870e+04,113900.000000,108000.000000,0.000000,0.000391,0.004776,0.001563,0.000000,0.000000,0.000000,0.000000,1.042710,0.008310
3.900e+04,113900.000000,108000.000000,0.000000,0.000391,0.004788,0.001563,0.000000,0.000000,0.000000,0.000000,1.040080,0.008310
3.930e+04,113900.000000,108000.000000,0.000000,0.000391,0.004800,0.001563,0.000000,0.000000,0.000000,0.000000,1.038020,0.008310
3.960e+04,113900.000000,108000.000000,0.000000,0.000391,0.004812,0.001563,0.000000,0.000000,0.000000,0.000000,1.035830,0.008310
3.990e+04,113900.000000,108000.000000,0.000000,0.000391,0.004824,0.001563,0.000000,0.000000,0.000000,0.000000,1.033350,0.008310
4.020e+04,113900.000000,108000.000000,0.000000,0.000391,0.004836,0.001563,0.000000,0.000000,0.000000,0.000000,1.030960,0.008310
4.050e+04,113900.000000,108000.000000,0.000000,0.000391,0.004847,0.001563,0.000000,0.000000,0.000000,0.000000,1.028670,0.008310
